date id ninfected nrecovered ndeceased
45 30 2 5 0
45 9 5 1029 11
45 2 29 4731 49
45 21 62 1031 12
45 28 0 54 0
45 5 34 1943 18
45 23 42 338 1
45 27 5 33 0
45 7 216 4841 54
45 4 40 5074 49
45 1 74 1710 19
45 13 74 1898 20
45 16 10 266 2
45 17 10 83 1
45 18 21 228 3
45 3 47 4142 46
45 19 60 797 8
45 20 406 8843 132
45 15 12 42 0
45 22 36 406 7
45 24 17 311 2
45 26 777 4707 68
46 31 40 34 2
46 29 38 96 0
46 12 7 360 7
46 11 69 2053 33
46 10 41 520 7
46 0 156 32947 296
46 25 6 10 0
46 6 17 401 6
46 8 42 1394 12
46 14 78 3109 29
46 30 2 6 0
46 9 12 1032 11
46 2 21 4754 49
46 21 74 1062 12
46 28 0 54 0
46 5 42 1959 19
46 23 45 365 2
46 27 2 37 0
46 7 176 4989 55
46 4 38 5098 49
46 1 85 1753 19
46 13 57 1949 20
46 16 11 272 2
46 17 5 89 1
46 18 21 244 3
46 3 41 4174 46
46 19 60 835 8
46 20 380 9124 136
46 15 17 47 0
46 22 39 426 7
46 24 17 321 2
46 26 817 5258 79
47 31 41 53 2
47 29 54 118 0
47 12 5 366 7
47 11 66 2097 33
47 10 48 545 8
47 0 159 33019 297
47 25 1 16 0
47 6 13 414 6
47 8 55 1420 12
47 14 85 3165 29
47 30 8 7 0
47 9 11 1038 11
47 2 23 4761 49
47 21 72 1105 13
47 28 0 54 0
47 5 32 1987 20
47 23 45 390 3
47 27 5 39 0
47 7 184 5098 57
47 4 31 5118 49
47 1 91 1800 20
47 13 70 1975 20
47 16 9 276 2
47 17 7 92 1
47 18 21 256 3
47 3 54 4198 46
47 19 75 870 8
47 20 371 9382 137
47 15 21 54 0
47 22 33 453 7
47 24 24 329 2
47 26 809 5825 87
48 31 31 81 2
48 29 47 149 0
48 12 8 370 7
48 11 65 2137 34
48 10 53 572 8
48 0 162 33104 297
48 25 1 17 0
48 6 16 421 7
48 8 60 1451 12
48 14 59 3231 30
48 30 8 10 0
48 9 14 1043 11
48 2 23 4772 49
48 21 60 1151 13
48 28 0 54 0
48 5 51 2000 20
48 23 35 423 4
48 27 3 43 0
48 7 185 5208 57
48 4 28 5133 50
48 1 106 1846 21
48 13 65 2021 21
48 16 5 280 2
48 17 9 96 1
48 18 15 269 3
48 3 59 4226 46
48 19 63 915 8
48 20 359 9621 141
48 15 25 63 0
48 22 23 482 7
48 24 21 343 2
48 26 791 6388 96
49 31 34 105 2
49 29 52 174 1
49 12 9 375 7
49 11 64 2176 34
49 10 54 603 10
49 0 175 33182 297
49 25 0 18 0
49 6 13 432 7
49 8 45 1493 12
49 14 65 3268 30
49 30 4 17 0
49 9 15 1050 12
49 2 26 4780 49
49 21 74 1189 13
49 28 0 54 0
49 5 51 2029 20
49 23 32 442 5
49 27 1 46 0
49 7 182 5324 57
49 4 35 5144 50
49 1 117 1905 23
49 13 66 2062 21
49 16 4 284 2
49 17 9 101 1
49 18 21 278 3
49 3 57 4258 46
49 19 47 960 8
49 20 350 9860 144
49 15 28 76 0
49 22 28 494 7
49 24 38 352 2
49 26 767 6946 112
50 31 62 122 2
50 29 45 208 1
50 12 10 379 7
50 11 62 2211 34
50 10 51 635 10
50 0 185 33273 299
50 25 1 18 0
50 6 20 438 7
50 8 49 1522 12
50 14 58 3307 30
50 30 0 20 1
50 9 21 1057 12
50 2 22 4794 49
50 21 68 1228 15
50 28 2 54 0
50 5 56 2053 20
50 23 29 461 5
50 27 1 47 0
50 7 194 5428 60
50 4 29 5165 50
50 1 121 1970 23
50 13 58 2100 22
50 16 8 286 2
50 17 7 105 1
50 18 15 292 4
50 3 62 4289 47
50 19 30 994 8
50 20 328 10080 148
50 15 25 93 0
50 22 34 509 7
50 24 38 369 2
50 26 787 7488 121
51 31 61 163 2
51 29 34 242 1
51 12 7 384 7
51 11 54 2250 34
51 10 54 662 11
51 0 199 33362 299
51 25 3 18 0
51 6 21 449 7
51 8 44 1551 13
51 14 72 3340 31
51 30 0 20 1
51 9 19 1072 12
51 2 14 4808 49
51 21 64 1265 16
51 28 1 55 0
51 5 42 2086 21
51 23 34 480 5
51 27 1 47 0
51 7 169 5557 62
51 4 18 5186 50
51 1 116 2036 24
51 13 34 2140 22
51 16 7 291 2
51 17 7 107 1
51 18 23 297 5
51 3 46 4327 47
51 19 30 1015 9
51 20 323 10303 150
51 15 26 110 0
51 22 22 530 7
51 24 40 390 4
51 26 801 8044 126
52 31 77 192 2
52 29 58 264 1
52 12 12 388 7
52 11 72 2277 34
52 10 47 695 13
52 0 184 33472 304
52 25 8 19 0
52 6 32 461 7
52 8 51 1575 13
52 14 69 3380 33
52 30 0 20 1
52 9 22 1082 12
52 2 16 4816 49
52 21 50 1301 16
52 28 1 55 0
52 5 64 2107 21
52 23 27 499 5
52 27 7 47 0
52 7 151 5663 63
52 4 19 5198 50
52 1 116 2108 24
52 13 28 2160 22
52 16 5 296 2
52 17 5 111 1
52 18 27 310 5
52 3 49 4356 47
52 19 30 1033 9
52 20 300 10506 154
52 15 28 122 0
52 22 29 544 8
52 24 37 410 4
52 26 856 8600 133
53 31 83 239 2
53 29 49 300 2
53 12 17 395 7
53 11 74 2318 34
53 10 48 720 15
53 0 179 33559 304
53 25 9 25 0
53 6 25 482 7
53 8 54 1603 13
53 14 51 3425 34
53 30 2 20 1
53 9 19 1098 12
53 2 13 4826 49
53 21 53 1331 16
53 28 0 56 0
53 5 64 2140 21
53 23 27 517 5
53 27 11 49 0
53 7 109 5755 65
53 4 30 5209 50
53 1 116 2170 24
53 13 32 2177 23
53 16 9 298 2
53 17 6 114 1
53 18 29 328 5
53 3 38 4385 48
53 19 26 1053 9
53 20 304 10675 156
53 15 18 143 0
53 22 25 565 8
53 24 28 432 4
53 26 819 9231 143
54 31 88 295 2
54 29 68 325 2
54 12 15 404 8
54 11 85 2364 35
54 10 64 743 15
54 0 169 33651 305
54 25 13 30 0
54 6 34 497 7
54 8 47 1632 13
